Phoenix,iStelle,Invictus,Sparks
class 1 - los,class 2 - los,class 3 - los,class 4 - los
class 5 - los,class 6 - los,class 7 - los,class 8 - los
class 1 - nbo,class 9 - los,class 10 - los,class 2 - nbo
class 11 - los,class 3 - nbo,class 4 - nbo,class 12 - los
class 13 - los,class 14 - los,class 5 - nbo,class 15 - los
class 6 - nbo,class 16 - los,class 7 - nbo,class 8 - nbo
class 17 - los,class 18 - los,class 19 - los,class 9 - nbo
class 20 - los,class 10 - nbo,class 21 - los,class 11 - nbo
class 12 - nbo,class 13 - nbo,class 22 - los,class 23 - los
class 14 - nbo,class 24 - los,class 15 - nbo,class 25 - los
class 16 - nbo,class 17 - nbo,class 26 - los,class 1 - kla
class 27 - los,class 18 - nbo,class 19 - nbo,class 28 - los
class 29 - los,class 20 - nbo,class 2 - kla,class 30 - los
class 21 - nbo,class 3 - kla,class 31 - los,class 22 - nbo
class 4 - kla,class 32 - los,class 23 - nbo,class 5 - kla
class 33 - los,class 24 - nbo,class 34 - los,class 25 - nbo
class 35 - los,class 6 - kla,class 26 - nbo,class 36 - los
class 27 - nbo,class 37 - los,class 7 - kla,class 28 - nbo
class 8 - kla,class 38 - los,,
